,Tag,Reader,Antenna,rssi
25:05.3,1000C0YLE9000A07Q03,Adpter,3,-45.5
25:05.3,10200C0YLE000A07PT7,Adpter,3,-55.5
25:05.3,1000C0YLE9000A07Q00,Adpter,3,-62.5
25:05.3,1000C50YLE000A07PW9,Adpter,3,-60
25:05.3,11000C0YLE000A07Q12,Adpter,3,-58
25:05.3,10200C0YLE000A07QT0,Adpter,3,-58
25:05.3,1000C06YLE000A07QF4,Adpter,3,-58.5
25:05.3,1000C0YL8E000A07Q88,Adpter,3,-44
25:05.3,1000C06YLE000A07PX1,Adpter,3,-61
25:05.3,1000C0YL8E000A07PZ1,Adpter,3,-60.5
25:05.3,1000C0YL8E000A07Q85,Adpter,3,-54.5
25:05.3,1000C0YL8E000A07PZ9,Adpter,3,-48.5
25:05.3,10200C0YLE000A07PT0,Adpter,3,-53
25:05.3,10030C0YLE000A07QL4,Adpter,3,-64
25:05.3,10004C0YLE000A07QD7,Adpter,3,-59
25:05.3,1000C50YLE000A07PW2,Adpter,3,-54
25:05.3,1000C0YL8E000A07Q84,Adpter,3,-54.5
25:05.3,1000C0YL8E000A07QQ9,Adpter,3,-56
25:05.3,1000C0Y7LE000A07PY1,Adpter,3,-54
25:05.3,10200C0YLE000A07QB6,Adpter,3,-63
25:05.3,1000C0YLE9000A07Q92,Adpter,3,-55
25:05.3,11000C0YLE000A07PS7,Adpter,3,-54
25:05.3,10030C0YLE000A07QU5,Adpter,3,-57.5
25:05.3,1000C0Y7LE000A07Q77,Adpter,3,-59.5
25:05.3,1000C50YLE000A07Q53,Adpter,3,-55.5
25:05.3,1000C0YLE9000A07Q96,Adpter,3,-52
25:05.3,1000C0Y7LE000A07QP9,Adpter,3,-64
25:05.3,10200C0YLE000A07QK6,Adpter,3,-61.5
25:05.3,10200C0YLE000A07QK7,Adpter,3,-59
25:05.4,1000C0YLE9000A07Q02,Adpter,3,-48
25:05.4,10004C0YLE000A07PV9,Adpter,3,-49
25:05.4,10004C0YLE000A07QM7,Adpter,3,-53.5
25:05.4,10004C0YLE000A07PV0,Adpter,3,-50.5
25:05.4,1000C50YLE000A07PW4,Adpter,3,-53
25:05.4,1000C0Y7LE000A07QP5,Adpter,3,-61.5
25:05.4,1000C06YLE000A07Q68,Adpter,3,-50.5
25:05.4,1000C06YLE000A07QF4,Adpter,3,-59.5
25:05.4,10200C0YLE000A07PT7,Adpter,3,-59.5
25:05.4,1000C0Y7LE000A07QG6,Adpter,3,-53
25:05.4,1000C50YLE000A07PW1,Adpter,3,-59
25:05.4,10200C0YLE000A07PT6,Adpter,3,-43
25:05.4,10200C0YLE000A07PT5,Adpter,3,-44
25:05.4,1000C50YLE000A07Q53,Adpter,3,-54.5
25:05.4,1000C0YL8E000A07PZ2,Adpter,3,-50
25:05.4,10004C0YLE000A07QM8,Adpter,3,-53
25:05.4,1000C0YL8E000A07PZ3,Adpter,3,-51.5
25:05.4,10004C0YLE000A07PV6,Adpter,3,-44
25:05.4,11000C0YLE000A07PS3,Adpter,3,-59.5
25:05.4,10200C0YLE000A07QB8,Adpter,3,-46.5
25:05.4,1000C50YLE000A07PW8,Adpter,3,-50
25:05.4,1000C0Y7LE000A07PY0,Adpter,3,-57
25:05.4,1000C0Y7LE000A07Q72,Adpter,3,-66.5
25:05.4,1000C0Y7LE000A07Q73,Adpter,3,-48.5
25:05.4,11000C0YLE000A07PS0,Adpter,3,-47
25:05.4,10030C0YLE000A07QU7,Adpter,3,-53
25:05.4,1000C0YL8E000A07Q88,Adpter,3,-44.5
25:05.4,1000C50YLE000A07PW6,Adpter,3,-61
25:05.4,1000C0YL8E000A07QQ8,Adpter,3,-50.5
25:05.4,1000C0YL8E000A07PZ9,Adpter,3,-48.5
25:05.4,11000C0YLE000A07Q15,Adpter,3,-50.5
25:05.4,11000C0YLE000A07Q10,Adpter,3,-50
25:05.4,1000C50YLE000A07Q56,Adpter,3,-56.5
25:05.4,1000C0YLE9000A07Q06,Adpter,3,-48.5
25:05.4,1000C0YLE9000A07QI2,Adpter,3,-59.5
25:05.4,1000C0Y7LE000A07PY6,Adpter,3,-61.5
25:05.4,1000C0YLE9000A07Q09,Adpter,3,-43.5
25:05.4,1000C0Y7LE000A07PY7,Adpter,3,-48.5
25:05.4,81000020200226000A100175,Adpter,3,-58.5
25:05.4,10200C0YLE000A07PT4,Adpter,3,-49
25:05.4,1000C06YLE000A07QF6,Adpter,3,-58
25:05.4,1000C0Y7LE000A07PY1,Adpter,3,-53.5
25:05.4,1000C0YLE9000A07Q08,Adpter,3,-48.5
25:05.4,1000C0YLE9000A07Q92,Adpter,3,-59
25:05.4,1000C0Y7LE000A07QG9,Adpter,3,-57.5
25:05.4,10200C0YLE000A07QT0,Adpter,3,-60
25:05.4,10200C0YLE000A07PT9,Adpter,3,-59.5
25:05.4,10200C0YLE000A07PT0,Adpter,3,-55.5
25:05.4,1000C0Y7LE000A07QP1,Adpter,3,-60.5
25:05.4,11000C0YLE000A07Q11,Adpter,3,-57
25:05.4,1000C0YL8E000A07QQ0,Adpter,3,-52.5
25:05.4,10004C0YLE000A07QM9,Adpter,3,-51.5
25:05.4,1000C0Y7LE000A07Q79,Adpter,3,-49.5
25:05.4,1000C06YLE000A07PX5,Adpter,3,-64.5
25:05.4,1000C0YLE9000A07Q03,Adpter,3,-46.5
25:05.4,1000C50YLE000A07QE7,Adpter,3,-50
25:05.4,1000C0YL8E000A07Q85,Adpter,3,-62.5
25:05.4,1000C06YLE000A07Q69,Adpter,3,-59
25:05.4,1000C0YLE9000A07Q91,Adpter,3,-60.5
25:05.4,10030C0YLE000A07PU8,Adpter,3,-56.5
